,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
187,Mississippi,1036.0,2003-02-01 00:00:00,600.0,2736.0
188,Oklahoma,917.0,2003-02-01 00:00:00,1217.0,3163.0
189,Tennessee,1465.0,2003-02-01 00:00:00,2353.0,5114.0
190,Texas,3676.0,2003-02-01 00:00:00,8945.0,16470.0
191,Alaska,83.0,2003-02-01 00:00:00,123.0,323.0
192,Arizona,991.0,2003-02-01 00:00:00,2167.0,4222.0
193,California,3338.0,2003-02-01 00:00:00,15906.0,23265.0
194,Colorado,856.0,2003-02-01 00:00:00,1593.0,3076.0
195,Hawaii,117.0,2003-02-01 00:00:00,254.0,552.0
196,Idaho,341.0,2003-02-01 00:00:00,294.0,1005.0
197,Montana,365.0,2003-02-01 00:00:00,122.0,716.0
198,Nevada,276.0,2003-02-01 00:00:00,725.0,1318.0
199,New Mexico,677.0,2003-02-01 00:00:00,476.0,1748.0
200,Oregon,813.0,2003-02-01 00:00:00,950.0,2451.0
201,Utah,431.0,2003-02-01 00:00:00,791.0,1694.0
202,Washington,787.0,2003-02-01 00:00:00,2154.0,3917.0
203,Wyoming,274.0,2003-02-01 00:00:00,127.0,568.0
204,Connecticut,138.0,2004-01-01 00:00:00,1656.0,2267.0
205,Maine,461.0,2004-01-01 00:00:00,233.0,1115.0
206,Massachusetts,465.0,2004-01-01 00:00:00,2844.0,4239.0
207,New Hampshire,360.0,2004-01-01 00:00:00,340.0,964.0
208,New Jersey,634.0,2004-01-01 00:00:00,3160.0,5011.0
209,New York,1279.0,2004-01-01 00:00:00,5413.0,9706.0
210,Pennsylvania,1930.0,2004-01-01 00:00:00,3223.0,7073.0
211,Rhode Island,32.0,2004-01-01 00:00:00,332.0,417.0
212,Vermont,231.0,2004-01-01 00:00:00,96.0,582.0
213,Delaware,148.0,2004-01-01 00:00:00,287.0,648.0
214,District of Columbia,0.0,2004-01-01 00:00:00,224.0,292.0
215,Florida,2827.0,2004-01-01 00:00:00,7288.0,15437.0
216,Georgia,2385.0,2004-01-01 00:00:00,3664.0,9065.0
217,Maryland,811.0,2004-01-01 00:00:00,2441.0,4039.0
218,North Carolina,1980.0,2004-01-01 00:00:00,2318.0,6925.0
219,South Carolina,1607.0,2004-01-01 00:00:00,1099.0,3804.0
220,Virginia,1770.0,2004-01-01 00:00:00,2767.0,5901.0
221,West Virginia,618.0,2004-01-01 00:00:00,318.0,1358.0
222,Illinois,1412.0,2004-01-01 00:00:00,4285.0,7624.0
223,Indiana,1527.0,2004-01-01 00:00:00,2132.0,5671.0
224,Iowa,941.0,2004-01-01 00:00:00,639.0,2187.0
225,Kansas,771.0,2004-01-01 00:00:00,795.0,2090.0
226,Michigan,1694.0,2004-01-01 00:00:00,4184.0,7790.0
227,Minnesota,1253.0,2004-01-01 00:00:00,1693.0,4081.0
228,Missouri,1266.0,2004-01-01 00:00:00,2024.0,4848.0
229,Nebraska,589.0,2004-01-01 00:00:00,434.0,1336.0
230,North Dakota,233.0,2004-01-01 00:00:00,103.0,493.0
231,Ohio,1700.0,2004-01-01 00:00:00,3665.0,8229.0
232,South Dakota,342.0,2004-01-01 00:00:00,121.0,606.0
233,Wisconsin,1409.0,2004-01-01 00:00:00,1466.0,4170.0
234,Alabama,1273.0,2004-01-01 00:00:00,1519.0,4548.0
235,Arkansas,902.0,2004-01-01 00:00:00,759.0,2335.0
236,Kentucky,1067.0,2004-01-01 00:00:00,1195.0,3360.0
237,Louisiana,967.0,2004-01-01 00:00:00,1334.0,3325.0
238,Mississippi,1117.0,2004-01-01 00:00:00,621.0,2961.0
239,Oklahoma,963.0,2004-01-01 00:00:00,1324.0,3413.0
240,Tennessee,1667.0,2004-01-01 00:00:00,2406.0,5504.0
241,Texas,4138.0,2004-01-01 00:00:00,9628.0,18027.0
242,Alaska,83.0,2004-01-01 00:00:00,120.0,324.0
243,Arizona,1054.0,2004-01-01 00:00:00,2206.0,4373.0
244,California,3224.0,2004-01-01 00:00:00,15981.0,23168.0
245,Colorado,937.0,2004-01-01 00:00:00,1773.0,3426.0
246,Hawaii,124.0,2004-01-01 00:00:00,300.0,634.0
247,Idaho,348.0,2004-01-01 00:00:00,304.0,1027.0
248,Montana,390.0,2004-01-01 00:00:00,130.0,767.0
249,Nevada,298.0,2004-01-01 00:00:00,811.0,1446.0
250,New Mexico,749.0,2004-01-01 00:00:00,538.0,1966.0
251,Oregon,857.0,2004-01-01 00:00:00,1043.0,2636.0
252,Utah,477.0,2004-01-01 00:00:00,843.0,1828.0
253,Washington,818.0,2004-01-01 00:00:00,2224.0,4049.0
254,Wyoming,445.0,2004-01-01 00:00:00,129.0,870.0
255,Connecticut,154.0,2003-03-01 00:00:00,1789.0,2512.0
256,Maine,499.0,2003-03-01 00:00:00,231.0,1191.0
